Query,Outputs,Correct,Comments
Honda Q C1 electric bike,"Honda Activa e RoadSync Duo (Pearl Shallow Blue), Honda Activa e RoadSync Duo (Pearl Shallow Blue), Honda Activa e RoadSync Duo (Pearl Misty White), Honda Activa e RoadSync Duo (Pearl Misty White), Honda Activa e RoadSync Duo (Pearl Serenity Blue), Honda Activa e RoadSync Duo (Pearl Serenity Blue), Honda Activa e RoadSync Duo (Matt Foggy Silver Metallic), Honda Activa e RoadSync Duo (Matt Foggy Silver Metallic), Honda Activa e RoadSync Duo (Pearl Igneous Black), Honda Activa e RoadSync Duo (Pearl Igneous Black)",,
Oneplus bullet Nakband,OnePlus Wireless Bluetooth Earbuds Green (BUDS PRO2),,
oneplus bullet neckband,OnePlus Wireless Bluetooth Earbuds Green (BUDS PRO2),,
Nothing 3 a Pro,"Nothing Phone (4a) Pro 5G 128 GB Storage Black (8 GB RAM), Nothing Phone (4a) Pro 5G 128 GB Storage Silver (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Black (8 GB RAM), Nothing Phone (4a) Pro 256 GB Storage Pink (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Silver (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Black (12 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Pink (12 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Silver (12 GB RAM), Nothing Phone 3 256 GB Storage Black (12 GB RAM), Nothing Phone 3 256 GB Storage White (12 GB RAM)",,
Croma LED TV 43,"Croma 109.22 cm (43 inch) Ultra HD (4K) Smart LED TV Black (CREL043FGL024650), Croma 109 cm (43 Inch) Full HD LED Smart TV Black (CREL 7345), Croma 109 cm (43 Inch) Full HD LED Smart TV Black (EL7345), Croma 109.22 cm (43 Inch) Full HD LED Smart TV Black (HITACHI Smart LED 108CM LD43HTS06F), Croma 109.2 cm (43 Inch) Full HD LED Smart TV Black (CROMA LED FHD SMART 43INCH EL7361 3), Croma Fire TV 109 cm (43 inch) Full HD LED Smart Fire TV with Amazon Alexa, Croma Fire TV 109 cm (43 inch) Full HD LED Smart Fire TV with Amazon Alexa, Croma Fire TV 109 cm (43 inch) 4K Ultra HD LED Fire TV with Alexa Compatibility, Croma 109 cm (43 inch) 4K Ultra HD LED Android TV with Google Assistant (2022 model), Croma 109 cm 43 Inch (4K) Ultra HD Smart LED TV Black (CREL043USA024601)",,
Vivo Stock,"vivo Y11 5G 128 GB Storage Midnight Blue (4 GB RAM), vivo Y11 5G 128 GB Storage Sunrise Gold (4 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM)",,
Voltas Air Cooler,"Voltas 55 L Desert Air Cooler With Wood Wool white(VICTOR55 4810341), Voltas 52 L Window Cooler Air Cooler White (WIND 52(MT MODEL)), Voltas 47 L Desert Air Cooler White (Victor 47), Voltas 55 L Desert Air Cooler White Grey (Victor 55), Voltas 52 L Desert Air Cooler White Grey (Grand 52), Voltas 72 L Desert Air Cooler White (GRAND 72), Voltas 60 L Desert Air Cooler White and Grey (Mega 60), Voltas 60 L Desert Air Cooler White (Mega 60E(Mt Model)), Voltas 70 L Desert Air Cooler White Grey (Mega 70), Voltas JetMax 54 Desert Air Cooler White (4810231)",,
Dakin Ac,"Daikin 1.5 Ton 4 Star Split AC White (Copper Condenser, RKP50XV16VKA), Daikin 1.5 Ton 4 Star Split AC White (Copper Condenser, RKP50XV16VKA), Daikin 1.5 Ton 5 Star Window AC White (FRWF50TV162B), Daikin 3 Star Split AC White (RLG28TV16X2Z), Daikin 1 Ton 3 Star Inverter Split AC White (GTKL35TV16X), Daikin 1 Ton 3 Star Inverter Split AC White (RKLG35TV16X), Daikin 1 Ton 3 Star Split AC White (Copper Condenser, RKLG35TV16WC), Daikin 1 Ton 3 Star Inverter Split AC White (FTKL35TV16X-RKL35TV16X), Daikin 1 Ton 3 Star Inverter Split AC White (RKL35TV16X), Daikin 1 Ton 3 Star Inverter Split AC White (RKL35TV16W)",,
daikin ac,"Daikin 1.5 Ton 4 Star Split AC White (Copper Condenser, RKP50XV16VKA), Daikin 1.5 Ton 4 Star Split AC White (Copper Condenser, RKP50XV16VKA), Daikin 1.5 Ton 5 Star Window AC White (FRWF50TV162B), Daikin 3 Star Split AC White (RLG28TV16X2Z), Daikin 1 Ton 3 Star Inverter Split AC White (GTKL35TV16X), Daikin 1 Ton 3 Star Inverter Split AC White (RKLG35TV16X), Daikin 1 Ton 3 Star Split AC White (Copper Condenser, RKLG35TV16WC), Daikin 1 Ton 3 Star Inverter Split AC White (FTKL35TV16X-RKL35TV16X), Daikin 1 Ton 3 Star Inverter Split AC White (RKL35TV16X), Daikin 1 Ton 3 Star Inverter Split AC White (RKL35TV16W)",,
oneplus neckband,OnePlus Wireless Bluetooth Earbuds Green (BUDS PRO2),,
Poco Smartphones,"Poco C85x 5G 64 GB Storage Elite Black (4 GB RAM), Poco C85x 5G 64 GB Storage Emerald Green (4 GB RAM), Poco C85x 5G 64 GB Storage Sunset Gold (4 GB RAM), Poco C85x 5G 128 GB Storage Elite Black (4 GB RAM), Poco C85x 5G 128 GB Storage Emerald Green (4 GB RAM), Poco C85x 5G 128 GB Storage Sunset Gold (4 GB RAM), POCO M8 5G 128 GB Storage Carbon Black (6 GB RAM), POCO M8 5G 128 GB Storage Frost Silver (6 GB RAM), POCO M8 5G 128 GB Storage Glacial Blue (6 GB RAM), POCO M8 5G 128 GB Storage Carbon Black (8 GB RAM)",,
Iphone 17,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
Vivo Y13 Mobile,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM)",,
Activa Scooty,"Honda Activa 125 H Smart (2025) (Rebel Red Metallic), Honda Activa 125 H Smart (2025) (Pearl Igneous Black), Honda Activa 125 H Smart (2025) (Matt Axis Gray Metallic), Honda Activa 125 H Smart (2025) (Pearl Deep Ground Gray), Honda Activa 125 H Smart (2025) (Pearl Siren Blue), Honda Activa 125 H Smart (2025) (Pearl Precious White), Honda Activa 6G Standard (Black), Honda Activa Standard (Mat Axis Grey Metallic), Honda Activa Standard (Pearl Precious White), Honda Activa Standard (Rebel Red Metallic)",,
oneplus Headphones,"Sony WH-XB910N Wireless Bluetooth Headphones (Blue), JBL Bluetooth Wireless Headphones Black (LIVE 770NC), Bose Bluetooth Wireless Headphones Black (QC HEADPHONE BLUE DUSK), Sony Wireless Headphones with Active Noise Cancellation Bluetooth Headphones (Black), JBL Bluetooth Wireless Headphones Black (Tour One M3), Bose Bluetooth Wireless Headphones Black (Quietcomfort Ultra 2nd Gen), Sony Wireless Headphones with Active Noise Cancellation Bluetooth Headphones (White), JBL Club One Bluetooth Wireless Headphone (Black), Bose Bluetooth Wireless Headphones White (Quietcomfort Ultra 2nd Gen), Sony Audiophile Headphones (MDR-MV1//Q IN 92509005, Black)",,
Aquaguard Sure Mist UV+MC Water Pur,"Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard No Storage Water Purifier White (Crystal Plus UV), Aquaguard 6.5 Liters Storage Water Purifier Black and White (Ag Superb UV+UF With Origa), Aquaguard 6.5 L Storage Water Purifier White (Superb UV+UF), Aquaguard Water Purifier White (Aquaguard Crystal NXT UV+HOT), Aquaguard Water Purifier White (Crystal NXT UV+HOT), Aquaguard Water Purifier White (Aquaguard Enhance NXT UV+HOT), Aquaguard 0-5 Liters Storage Water Purifier White (ENHANCE NXT UV+Ayur), Aquaguard 6 Liters Storage Water Purifier White (SUPERB RO+UV+MTDS+ZPP)",,
Realme Smartphones,"realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), realme 16T 5G 128 GB Storage Starlight Black (6 GB RAM), realme 16T 5G 128 GB Storage Aurora Green (6 GB RAM), realme 16T 5G 128 GB Storage Aurora Green (8 GB RAM), realme 16T 5G 128 GB Storage Starlight Black (8 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (8 GB RAM), realme 16T 5G 256 GB Storage Starlight Red (8 GB RAM), realme 16T 5G 256 GB Storage Starlight Black (8 GB RAM), realme 16T 5G 256 GB Storage Aurora Green (8 GB RAM), realme 16 5G 256 GB Storage Air White (12 GB RAM)",,
Aquaguard Water Purifier,"Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard No Storage Water Purifier White (Crystal Plus UV), Aquaguard 6.5 Liters Storage Water Purifier Black and White (Ag Superb UV+UF With Origa), Aquaguard 6.5 L Storage Water Purifier White (Superb UV+UF), Aquaguard Water Purifier White (Aquaguard Crystal NXT UV+HOT), Aquaguard Water Purifier White (Crystal NXT UV+HOT), Aquaguard 500 ml Storage Water Purifier White (GWPDCSTPH00000), Aquaguard Water Purifier White (Aquaguard Enhance NXT UV+HOT), Aquaguard Purifier White (Enhance NXT UV+HOT)",,
Aquaguard Water Purifier,"Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard No Storage Water Purifier White (Crystal Plus UV), Aquaguard 6.5 Liters Storage Water Purifier Black and White (Ag Superb UV+UF With Origa), Aquaguard 6.5 L Storage Water Purifier White (Superb UV+UF), Aquaguard Water Purifier White (Aquaguard Crystal NXT UV+HOT), Aquaguard Water Purifier White (Crystal NXT UV+HOT), Aquaguard 500 ml Storage Water Purifier White (GWPDCSTPH00000), Aquaguard Water Purifier White (Aquaguard Enhance NXT UV+HOT), Aquaguard Purifier White (Enhance NXT UV+HOT)",,
Aquaguard Water Purifier,"Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard No Storage Water Purifier White (Crystal Plus UV), Aquaguard 6.5 Liters Storage Water Purifier Black and White (Ag Superb UV+UF With Origa), Aquaguard 6.5 L Storage Water Purifier White (Superb UV+UF), Aquaguard Water Purifier White (Aquaguard Crystal NXT UV+HOT), Aquaguard Water Purifier White (Crystal NXT UV+HOT), Aquaguard 500 ml Storage Water Purifier White (GWPDCSTPH00000), Aquaguard Water Purifier White (Aquaguard Enhance NXT UV+HOT), Aquaguard Purifier White (Enhance NXT UV+HOT)",,
Aquaguard Water Purifier,"Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard No Storage Water Purifier White (Crystal Plus UV), Aquaguard 6.5 Liters Storage Water Purifier Black and White (Ag Superb UV+UF With Origa), Aquaguard 6.5 L Storage Water Purifier White (Superb UV+UF), Aquaguard Water Purifier White (Aquaguard Crystal NXT UV+HOT), Aquaguard Water Purifier White (Crystal NXT UV+HOT), Aquaguard 500 ml Storage Water Purifier White (GWPDCSTPH00000), Aquaguard Water Purifier White (Aquaguard Enhance NXT UV+HOT), Aquaguard Purifier White (Enhance NXT UV+HOT)",,
S23 Ultra,"Ultra 3 Burners Gas Stove Stainless steel Black (Optiflame 3G), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (BH1073SQHTDB), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (CT1035USBL)",,
Vivo V70,"vivo V70 FE 256 GB Storage Monsoon Blue (12 GB RAM), vivo V70 FE 256 GB Storage Northern Lights Purple (12 GB RAM), vivo V70 FE 256 GB Storage Monsoon Blue (8 GB RAM), vivo V70 FE 256 GB Storage Northern Lights Purple (8 GB RAM), vivo V70 FE 128 GB Storage Monsoon Blue (8 GB RAM), vivo V70 FE 128 GB Storage Northern Lights Purple (8 GB RAM), vivo V70 5G 256 GB Storage Passion Red (8 GB RAM), vivo V70 5G 256 GB Storage Lemon Yellow (8 GB RAM), vivo V70 5G 256 GB Storage Passion Red (12 GB RAM), vivo V70 5G 256 GB Storage Lemon Yellow (12 GB RAM)",,
Vivo T4 Ultra,"vivo T4 Ultra 512 GB Storage Meteor Grey (12 GB RAM), vivo T4 Ultra 256 GB Storage Phoenix Gold (12 GB RAM), vivo T4 Ultra 256 GB Storage Phoenix Gold (8 GB RAM), vivo X300 Ultra 5G 512 GB Storage Eclipse Black (16 GB RAM), vivo X300 Ultra 5G 512 GB Storage Victory Green (16 GB RAM), vivo T4 5G 256 GB Storage Phantom Grey (8 GB RAM), vivo T4 5G 128 GB Storage Phantom Grey (8 GB RAM), vivo T4 5G 256 GB Storage Phantom Grey (12 GB RAM), Vivo T3 Ultra 128 GB Storage Frost Green (8 GB RAM), Vivo T3 Ultra 256 GB Lunar Gray (12 GB RAM)",,
till body cooler,"Symphony 70 L Desert Air Cooler white (SUMO 70), Kenstar 40 L Desert Air Cooler White (CL-9704-C), Havells 70 L Desert Air Cooler White And Grey (Freddo t), Bajaj 22 L Tower Air Cooler White (Cool.iNXT), Usha 20 L Room Personal Air Cooler Multicolor (Stellar Zx), Voltas 52 L Window Cooler Air Cooler White (WIND 52(MT MODEL)), Blue Star 35 L Desert Air Cooler Beige (DA35LMA), Godrej 60 L Desert Air Cooler Light Grey (CLEDGE CB D 80 R BFN4 LIGR), Aisen 50 L Desert Air Cooler White (A50Wmh322 (Vera Plus)), Daenyx 75 L Desert Cooler Air Cooler Multicolor (Desert 75 HC)",,
Iphone 15,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
mill body cooler,"Symphony 70 L Desert Air Cooler white (SUMO 70), Kenstar 40 L Desert Air Cooler White (CL-9704-C), Havells 70 L Desert Air Cooler White And Grey (Freddo t), Bajaj 22 L Tower Air Cooler White (Cool.iNXT), Usha 20 L Room Personal Air Cooler Multicolor (Stellar Zx), Voltas 52 L Window Cooler Air Cooler White (WIND 52(MT MODEL)), Blue Star 35 L Desert Air Cooler Beige (DA35LMA), Godrej 60 L Desert Air Cooler Light Grey (CLEDGE CB D 80 R BFN4 LIGR), Aisen 50 L Desert Air Cooler White (A50Wmh322 (Vera Plus)), Daenyx 75 L Desert Cooler Air Cooler Multicolor (Desert 75 HC)",,
Air Conditioner 30000 under,"Blue Star 1.5 Ton 3 Star Split Inverter Air Conditioner White (Copper Condenser, IA318DNU), Intex 1.5 Ton 3 Star Inverter Split AC White (Copper Condenser, Air Conditioner-AVS18CU7L-4W 1341-7002-186), Whirlpool 1.5 Ton 3 Star Split AC White (Copper Condenser, 3DCool 1.5T 3 Star Xpand Inverter Split Air Conditioner), Haier 1.5 Ton 3 Star Inverter Split Air Silver (Copper Condenser, HSU18K-PYSS3BN-INV), Amstrad 1 Ton 3 Star Inverter Split White (Copper Conditioner, AMS13S3DiC), IFB 2 Ton 3 Star Air Inverter Split AC White (Copper Condenser, CI2331G323G2), Voltas 1.5 Ton 3 Star Inverter Split AC White (Copper Condenser, SAC183VVECTRAZENITHSILVER), LG 1 Ton 3 Star Inverter Split AC White (KS-Q12ENXA), Havells 2 Ton 3 Star Inverter Split AC White (LS24I32WSEL), Daikin 1.5 Ton 4 Star Split AC White (Copper Condenser, RKP50XV16VKA)",,
Apple Iphone 16 Smartphones,"iPhone 16 Plus 128 GB - Black, iPhone 16 Plus 128 GB - White, iPhone 16 Plus 128 GB - Pink, iPhone 16 Plus 128 GB - Ultramarine, iPhone 16 Plus 128 GB - Teal, iPhone 16 Plus 256 GB - Black, iPhone 16 Plus 256 GB - White, iPhone 16 Plus 256 GB - Pink, iPhone 16 Plus 256 GB - Ultramarine, iPhone 16 Plus 256 GB - Teal",,
Ac 1 Ton,"Voltas 1 Ton 3 Star Split AC White (123 DZW), LG 1 Ton 3 Star Inverter Split AC White (KS-Q12ENXA), Blue Star 1 Ton 3 Star Split AC White (FS312AATU), Havells Sapphire 1 Ton 5 Star Inverter Split AC White (Copper Condenser, GLS12I5FOBAA), Haier 1 Ton 3 Star Inverter Split AC White (HSU-12NSS3A-DCINV), Daikin 1 Ton 3 Star Inverter Split AC White (GTKL35TV16X), Godrej 1 Ton 3 Star Split AC White (GSC 12ATC3-WSA), Panasonic 1 Ton 3 Star Inverter Split AC White (CU-RU18UKYRN), Samsung 1 Ton 3 Star Inverter Split AC White (AR12NV3HDTRNNA), Eureka Forbes 1 Ton 5 Star Inverter Split AC White (GACDFTKNCV5120)",,
Mobile 256GB,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi Note 15 Pro 5G 256 GB Storage Carbon Black (8 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), OPPO Find X9s 256 GB Storage Sunset Orange (12 GB RAM), realme 16T 5G 256 GB Storage Starlight Red (8 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Motorola Edge 70 256 GB Storage Lily White (12 GB RAM), Mi 10 256 GB Storage Coral Green (8 GB RAM), Infinix Note 60 Pro 256 GB Storage Mocha Brown (8 GB RAM)",,
mobile 256 gb,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi Note 15 Pro 5G 256 GB Storage Carbon Black (8 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), OPPO Find X9s 256 GB Storage Sunset Orange (12 GB RAM), realme 16T 5G 256 GB Storage Starlight Red (8 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Motorola Edge 70 256 GB Storage Lily White (12 GB RAM), Mi 10 256 GB Storage Coral Green (8 GB RAM), Infinix Note 60 Pro 256 GB Storage Mocha Brown (8 GB RAM)",,
Jbl Home Theatre,JBL Home Audio System with Bluetooth Technology Black (Bar 2.1 Deep Bass),,
Dell Laptops,"DELL Intel Core i3 9th Gen 4 GB RAM/1 TB HDD+/ Windows 10 Home/ 18.5 inch Laptop (Black,255205WIN8), DELL Intel Core i5 12th Gen 8 GB RAM/ 512 GB SSD/ Windows 11/ 14 inch Laptop (Carbon Black, 293420GT2FWO2MC1IN), Dell Intel Core i3 512 GB 8 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Carbon Black (VN3520HPCNX001ORB1O), Dell Intel Core i3 13th Gen 8 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Black, ODC15250001N1RINB1), Dell Intel Core i3 13th Gen 8 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Grey, ODC15250001N1RINS1), Dell Intel Core Ultra X7 32 GB RAM/ 1 TB SSD/ Win 11/ 14 inch Laptop (Graphite, CDA14260CTO03MINO), Dell Intel Core i3 7100U 7th Gen 4 GB DDR4 RAM 1 TB HDD Windows 10 Home (13.3 inch) Laptop Grey (A564101WIN9), Dell Intel Pentium Dual Core-4405U 4 GB DDR RAM 1 TB RPM HDD Linux (15.6 inch) Laptop Black (A553115UIN9), Dell Intel Core i3 4 GB RAM 1 TB HDD Windows 10 Home (15.6 inch) Laptop Black (B553521WIN9), Dell Inspiron 15 5000 AMD Ryzen 5 Quad Core 8 GB RAM / 1 TB HDD / Windows 10 Home / 15.6 inch Laptop (Licorice Black, 5575)",,
Honda Unicorn Bikes,"Honda Unicorn Standard (Imperial Red Metallic), Honda Unicorn Standard (Imperial Red Metallic), Honda Unicorn Standard (Matt Axis Grey Metallic), Honda Unicorn Standard (Matt Axis Grey Metallic), Honda Unicorn Standard (Pearl Igneous Black), Honda Unicorn Standard (Pearl Igneous Black), Honda Unicorn Disc (Radiant Red Metallic), Honda Unicorn Disc (Radiant Red Metallic), Honda Unicorn Disc (Mat Axis Gray Metallic), Honda Unicorn Disc (Mat Axis Gray Metallic)",,
Iphone 17,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
Samsung S23 Ultra,"Samsung Galaxy S23 Ultra 1 TB Storage Cream (12 GB RAM), Samsung Galaxy S23 Ultra 1 TB Storage Green (12 GB RAM), Samsung Galaxy S23 Ultra 1 TB Storage Phantom Black (12 GB RAM), Samsung Galaxy S23 Ultra 256 GB Storage Sky Blue (12 GB RAM), Samsung Galaxy S23 Ultra 256 GB Storage Lime (12 GB RAM), Samsung Galaxy S23 Ultra 256GB Storage Graphite (12GB RAM), Samsung Galaxy S23 Ultra 256 GB Storage Cream (12 GB RAM), Samsung Galaxy S23 Ultra 256 GB Storage Green (12 GB RAM), Samsung Galaxy S23 Ultra 256 GB Storage Phantom Black (12 GB RAM), Samsung Galaxy S23 Ultra 256 GB Storage Red (12 GB RAM)",,
Sony Led,"Sony 164 cm (65 inch) 4K Ultra HD Smart LED Google TV Black (K-65S25), Sony BRAVIA 126 cm (50 inches) 4K UHD Smart LED Google TV Black (K-50S25 12650901), Sony 164 cm (65 inch) 4K Ultra HD Smart LED TV Black (K-65S30 IN5 12639901), Sony 139 cm (55 inch) 4K Ultra HD Smart LED TV Black (K-55S30 IN5 12640101), Sony 189 cm (75 inch) 4K Ultra HD Smart LED TV Black (K-75S30 12639801), SAMSUNG 13 Place Settings Free Standing Dishwasher White (DW60M5042FW/TL), Sony Bravia 189 cm (75 inch) 4K Ultra HD Smart LED TV Black (K-75S30), Sony 215 cm (85 inch) 4K Utra HD Google Tv Black (K-85S30 12639701), Sony 215 cm (85 inches) 4K UHD Google Smart LED TV Black (K-85S30 12639701), Sony 139 cm (55 inch) Ultra HD (4K) Smart LED TV Black (K-55S25M2 IN5 12681001)",,
Sony Led,"Sony 164 cm (65 inch) 4K Ultra HD Smart LED Google TV Black (K-65S25), Sony BRAVIA 126 cm (50 inches) 4K UHD Smart LED Google TV Black (K-50S25 12650901), Sony 164 cm (65 inch) 4K Ultra HD Smart LED TV Black (K-65S30 IN5 12639901), Sony 139 cm (55 inch) 4K Ultra HD Smart LED TV Black (K-55S30 IN5 12640101), Sony 189 cm (75 inch) 4K Ultra HD Smart LED TV Black (K-75S30 12639801), SAMSUNG 13 Place Settings Free Standing Dishwasher White (DW60M5042FW/TL), Sony Bravia 189 cm (75 inch) 4K Ultra HD Smart LED TV Black (K-75S30), Sony 215 cm (85 inch) 4K Utra HD Google Tv Black (K-85S30 12639701), Sony 215 cm (85 inches) 4K UHD Google Smart LED TV Black (K-85S30 12639701), Sony 139 cm (55 inch) Ultra HD (4K) Smart LED TV Black (K-55S25M2 IN5 12681001)",,
Ten Set Chadar,"Home Town Floris Solidwood Dining Chair Set Of 2 in Teak Colour, Apka Interior 4 Chairs With Cushion Teak Wood Dining Table Set (Honey Finish), Good Furniture Works Candolim Wing Back Fabric Chair Jeans, @home by Nilkamal Olenna 1 Seater Dining Chair Solid Wood - Rubber Wood in Walnut Color, Danube Home Storm Office Chair (Black), Duroflex Pivot Ergonomic Work Chair, Furnitech Egg 1 Seater Wing Chair (Brown), ErgoLab Cube MB Mesh Seat Nylon Black Chair, Furniture Adda Snug Sheesham Wood Bunk Bed with Built in Study Table And Chair (BNB.106 ), Green Soul Scholar Kids Ergonomic and Multi Adjustable Childrens Mesh Study Chair with Footrest and Sit-Brake Castors (Blue)",,
ten set chair,"Home Town Floris Solidwood Dining Chair Set Of 2 in Teak Colour, Apka Interior 4 Chairs With Cushion Teak Wood Dining Table Set (Honey Finish), Good Furniture Works Candolim Wing Back Fabric Chair Jeans, @home by Nilkamal Olenna 1 Seater Dining Chair Solid Wood - Rubber Wood in Walnut Color, Danube Home Storm Office Chair (Black), Duroflex Pivot Ergonomic Work Chair, Furnitech Egg 1 Seater Wing Chair (Brown), ErgoLab Cube MB Mesh Seat Nylon Black Chair, Furniture Adda Snug Sheesham Wood Bunk Bed with Built in Study Table And Chair (BNB.106 ), Green Soul Scholar Kids Ergonomic and Multi Adjustable Childrens Mesh Study Chair with Footrest and Sit-Brake Castors (Blue)",,
